data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2024-07-18 10:49:53.253335;0;Belo Horizonte;Carlos Silva;Smartwatch ZetaWatch;John Sanders;masculino;cartão de crédito
2024-07-18 10:57:00.230823;1;Rio de Janeiro;Juliana Oliveira;Smartwatch ZetaWatch;Thurman Battle;masculino;cartão de débito
2024-07-18 11:41:58.799045;2;Porto Alegre;Robson Souza;Tablet ZetaPhone;Roger Florence;masculino;espécie
2024-07-18 14:31:00.484566;3;Florianópolis;Jorge Ferreira;Smartwatch ZetaWatch;Thelma Brown;feminino;boleto
2024-07-19 05:56:57.169255;4;Florianópolis;Gustavo Lima;Fone ZetaAudio;Marcela Keena;feminino;cartão de crédito
2024-07-19 05:59:58.317205;5;São Paulo;Ana Oliveira;Notebook;Carl Simmering;masculino;cartão de débito
2024-07-19 08:08:57.751032;6;Florianópolis;Jorge Ferreira;Smartwatch ZetaWatch;Daniel Carone;masculino;espécie
2024-07-19 12:07:00.432570;7;Belo Horizonte;Carlos Silva;Fone ZetaAudio;Hazel Rutherford;feminino;pix
2024-07-19 12:53:59.768838;8;Belo Horizonte;Carlos Silva;Fone ZetaAudio;Patricia Gross;feminino;pix
2024-07-20 05:24:57.974923;9;Florianópolis;Jorge Ferreira;Fone ZetaAudio;Helen Fiore;feminino;pix
2024-07-20 07:51:00.422765;10;Porto Alegre;Robson Souza;Smartphone ZetaPhone Universal;Brooks Mathews;masculino;espécie
2024-07-20 09:42:53.451679;11;Rio de Janeiro;Juliana Oliveira;Smartwatch ZetaWatch;Carolyn Morrison;feminino;espécie
2024-07-20 11:23:50.016716;12;São Paulo;Ana Oliveira;Smartphone ZetaPhone Universal;Chris Givens;masculino;cartão de crédito
2024-07-20 11:41:59.363999;13;Rio de Janeiro;Pedro Pereira;Tablet ZetaPhone;Elizabeth Miller;feminino;boleto
2024-07-20 12:56:53.974819;14;Rio de Janeiro;Juliana Oliveira;Fone ZetaAudio;Dann Ramirez;feminino;pix
2024-07-20 13:15:00.584734;15;Rio de Janeiro;Pedro Pereira;Notebook;Mattie Ballester;feminino;espécie
2024-07-20 14:57:54.177675;16;Rio de Janeiro;Juliana Oliveira;Fone ZetaAudio;Megan Browers;feminino;pix
2024-07-21 07:40:53.031594;17;Rio de Janeiro;Pedro Pereira;Tablet ZetaPhone;Jeffrey Newman;masculino;boleto
